AGGH,Honiara International Airport
ENAN,Andøya Airport
ENAT,Alta Airport
ENBN,Brønnøysund Airport
ENBO,Bodø Airport
ENBR,Bergen Airport Flesland
ENBS,Båtsfjord Airport
ENCN,Kristiansand Airport
ENDU,Bardufoss Airport
ENEV,"Harstad/Narvik Airport, Evenes"
ENFB,"Oslo, Fornebu Airport"
ENFL,Florø Airport
ENGM,Oslo Gardermoen Airport
ENHD,Haugesund Airport
ENHF,Hammerfest Airport
ENHV,Valan Airport
ENKB,Kristiansund Airport (Kvernberget)
ENKR,Kirkenes Airport (Høybuktmoen)
ENLA,Ula Platform
ENML,Molde Airport
ENNA,Banak Airport
ENOA,Oseberg A Platform
ENOL,Ørland Airport
ENOV,"Ørsta-Volda Airport, Hovden"
ENQA,Troll A Platform
ENQC,Troll C Platform
ENRO,Røros Airport
ENRY,"Moss Airport, Rygge"
ENSB,"Svalbard Airport, Longyear"
ENSL,Sleipner A Platform
ENTC,Tromsø Airport
ENTO,"Sandefjord Airport, Torp"
ENVA,Trondheim Airport Værnes
ENVD,Vadsø Airport
ENZV,Stavanger Airport Sola
EPBY,Bydgoszcz Ignacy Jan Paderewski Airport
EPGD,Gdańsk Lech Wałęsa Airport
EPKK,Kraków John Paul II International Airport
EPKT,Katowice International Airport
EPLL,Łódź Władysław Reymont Airport
EPMO,Modlin Airport
EPPO,Poznań-Ławica Airport
EPRZ,Rzeszów-Jasionka Airport
EPSC,"Szczecin-Goleniów ""Solidarność"" Airport"
EPWA,Warsaw Chopin Airport
EPWR,Copernicus Wrocław Airport
ESCF,Malmen Air Base
ESCM,Uppsala Airport
ESDF,Ronneby Airport
ESGG,Gothenburg-Landvetter Airport
ESGJ,Jönköping Airport
ESGR,Skövde Airport
ESGT,Trollhättan-Vänersborg Airport
ESIA,Karlsborg Air Base
ESIB,Såtenäs Air Base
ESKM,Mora Airport
ESKN,Stockholm Skavsta Airport
ESKS,Strängnäs Air Base
ESMK,Kristianstad Airport
ESMQ,Kalmar Airport
ESMS,Malmö Sturup Airport
ESMT,Halmstad Airport
ESMX,Växjö Kronoberg Airport
ESND,Sveg Airport
ESNG,Gällivare Airport
ESNK,Kramfors Sollefteå Airport
ESNL,Lycksele Airport
ESNN,Sundsvall-Härnösand Airport
ESNO,Örnsköldsvik Airport
ESNQ,Kiruna Airport
ESNS,Skellefteå Airport
ESNU,Umeå Airport
ESNV,Vilhelmina Airport
ESNX,Arvidsjaur Airport
ESNZ,Åre Östersund Airport
ESOE,Örebro Airport
