AGGH,Honiara International Airport
KSET,St Charles County Smartt Airport
KSEZ,Sedona Airport
KSFB,Orlando Sanford International Airport
KSFF,Felts Field
KSFM,Sanford Seacoast Regional Airport
KSFO,San Francisco International Airport
KSFQ,Suffolk Executive Airport
KSFY,Tri Township Airport
KSFZ,North Central State Airport
KSGF,Springfield Branson National Airport
KSGH,Springfield-Beckley Municipal Airport
KSGJ,Northeast Florida Regional Airport
KSGR,Sugar Land Regional Airport
KSGS,South St Paul Municipal Richard E Fleming field
KSGT,Stuttgart Municipal Airport / Carl Humphrey Field
KSGU,St George Municipal Airport
KSHD,Shenandoah Valley Regional Airport
KSHL,Sheldon Regional Airport
KSHN,Sanderson Field
KSHR,Sheridan County Airport
KSHV,Shreveport Regional Airport
KSIF,Rockingham County NC Shiloh Airport
KSIK,Sikeston Memorial Municipal Airport
KSIY,Siskiyou County Airport
KSJC,Norman Y. Mineta San Jose International Airport
KSJN,St Johns Industrial Air Park
KSJT,San Angelo Regional Mathis Field
KSJX,Beaver Island Airport
KSKA,Fairchild Air Force Base
KSKF,Lackland Air Force Base
KSKX,Taos Regional Airport
KSLB,Storm Lake Municipal Airport
KSLC,Salt Lake City International Airport
KSLE,Salem Municipal Airport/McNary Field
KSLG,Smith Field
KSLH,Cheboygan County Airport
KSLI,Los Alamitos Army Air Field
KSLK,Adirondack Regional Airport
KSLN,Salina Municipal Airport
KSLO,Salem Leckrone Airport
KSLR,Sulphur Springs Municipal Airport
KSME,Lake Cumberland Regional Airport
KSMF,Sacramento International Airport
KSMN,Lemhi County Airport
KSMO,Santa Monica Municipal Airport
KSMQ,Somerset Airport
KSMS,Sumter Airport
KSMX,Santa Maria Pub/Capt G Allan Hancock Field
KSNA,John Wayne Airport-Orange County Airport
KSNC,Chester Airport
KSNH,Savannah Hardin County Airport
KSNK,Winston Field
KSNL,Shawnee Regional Airport
KSNS,Salinas Municipal Airport
KSNY,Sidney Municipal-Lloyd W Carr Field
KSOA,Sonora Municipal Airport
KSOP,Moore County Airport
KSOW,Show Low Regional Airport
KSPA,Spartanburg Downtown Memorial Airport
KSPB,Scappoose Industrial Airpark
KSPF,Black Hills Airport-Clyde Ice Field
KSPG,Albert Whitted Airport
KSPI,Abraham Lincoln Capital Airport
KSPS,Sheppard Air Force Base-Wichita Falls Municipal Airport
KSPW,Spencer Municipal Airport
KSQI,Whiteside County Airport-Joseph H Bittorf Field
KSQL,San Carlos Airport
KSRB,Upper Cumberland Regional Airport
KSRC,Searcy Municipal Airport
KSRE,Seminole Municipal Airport
KSRQ,Sarasota Bradenton International Airport
KSRR,Sierra Blanca Regional Airport
KSSC,Shaw Air Force Base
KSSF,Stinson Municipal Airport
KSSI,Malcolm McKinnon Airport
KSTC,St Cloud Regional Airport
KSTE,Stevens Point Municipal Airport
KSTF,George M Bryan Airport
KSTJ,Rosecrans Memorial Airport
KSTK,Sterling Municipal Airport
KSTL,St Louis Lambert International Airport
KSTP,St Paul Downtown Holman Field
KSTS,Charles M. Schulz Sonoma County Airport
KSUA,Witham Field
KSUE,Door County Cherryland Airport
KSUN,Friedman Memorial Airport
KSUS,Spirit of St Louis Airport
KSUT,Brunswick County Airport
KSUU,Travis Air Force Base
KSUX,Sioux Gateway Col. Bud Day Field
KSUZ,Saline County Regional Airport
KSVC,Grant County Airport
KSVH,Statesville Regional Airport
KSVN,Hunter Army Air Field
KSWF,Stewart International Airport
KSWO,Stillwater Regional Airport
KSWW,Avenger Field
KSXK,Sioux County Regional Airport
KSYF,Cheyenne County Municipal Airport
KSYI,Bomar Field Shelbyville Municipal Airport
KSYR,Syracuse Hancock International Airport
KSZL,Whiteman Air Force Base
KSZT,Sandpoint Airport
KSZY,Robert Sibley Airport
KT20,Roger M. Dreyer Memorial Airport
KT35,Cameron Municipal Airpark
KT41,La Porte Municipal Airport
KT74,Taylor Municipal Airport
KT82,Gillespie County Airport
KTAD,Perry Stokes Airport
KTAN,Taunton Municipal King Field
KTAZ,Taylorville Municipal Airport
KTBN,Waynesville-St. Robert Regional Forney field
KTBR,Statesboro Bulloch County Airport
KTCC,Tucumcari Municipal Airport
KTCL,Tuscaloosa Regional Airport
KTCM,McChord Air Force Base
KTCS,Truth Or Consequences Municipal Airport
KTCY,Tracy Municipal Airport
KTDF,Person County Airport
KTDZ,Toledo Executive Airport
KTEB,Teterboro Airport
KTEW,Mason Jewett Field
KTEX,Telluride Regional Airport
KTFP,McCampbell-Porter Airport
KTHA,Tullahoma Regional Arpt/Wm Northern Field
KTHV,York Airport
KTIF,Thomas County Airport
KTIK,Tinker Air Force Base
KTIP,Rantoul National Avn Center-Frank Elliot field
KTIW,Tacoma Narrows Airport
KTIX,Space Coast Regional Airport
KTKC,Tracy Municipal Airport
KTKI,Collin County Regional At Mc Kinney Airport
KTKV,Tomahawk Regional Airport
KTKX,Kennett Memorial Airport
KTLH,Tallahassee Regional Airport
KTMA,Henry Tift Myers Airport
KTMB,Kendall-Tamiami Executive Airport
KTME,Houston Executive Airport
KTMK,Tillamook Airport
KTNU,Newton Municipal Airport
KTOA,Zamperini Field
KTOB,Dodge Center Airport
KTOC,Toccoa Airport - R.G. Letourneau Field
KTOI,Troy Municipal Airport at N Kenneth Campbell Field
KTOL,Toledo Express Airport
KTOP,Philip Billard Municipal Airport
KTOR,Torrington Municipal Airport
KTPA,Tampa International Airport
KTPF,Peter O Knight Airport
KTPH,Tonopah Airport
KTPL,Draughon Miller Central Texas Regional Airport
KTQE,Tekamah Municipal Airport
KTQH,Tahlequah Municipal Airport
KTQK,Scott City Municipal Airport
KTQK,Scott City Municipal Airport
KTRI,Tri-Cities Regional TN/VA Airport
KTRK,Truckee Tahoe Airport
KTRL,Terrell Municipal Airport
KTRM,Jacqueline Cochran Regional Airport
KTSP,Tehachapi Municipal Airport
KTTA,Sanford-Lee County Regional Airport
KTTD,Portland Troutdale Airport
KTTF,Custer Airport
KTTN,Trenton Mercer Airport
KTTS,Nasa Shuttle Landing Facility Airport
KTUL,Tulsa International Airport
KTUP,Tupelo Regional Airport
KTUS,Tucson International Airport
KTVC,Cherry Capital Airport
KTVF,Thief River Falls Regional Airport
KTVI,Thomasville Regional Airport
KTVK,Centerville Municipal Airport
KTVL,Lake Tahoe Airport
KTVR,Vicksburg Tallulah Regional Airport
KTVY,Bolinder Field Tooele Valley Airport
KTWF,Joslin Field Magic Valley Regional Airport
KTWM,Richard B Helgeson Airport
KTXK,Texarkana Regional Webb Field
KTYL,Taylor Airport
KTYQ,Indianapolis Executive Airport
KTYR,Tyler Pounds Regional Airport
KTYS,McGhee Tyson Airport
KTZR,Bolton Field
KU42,South Valley Regional Airport
KU55,Panguitch Municipal Airport
KU68,North Big Horn County Airport
KUAO,Aurora State Airport
KUBE,Cumberland Municipal Airport
KUCP,New Castle Municipal Airport
KUCY,Everett-Stewart Regional Airport
KUES,Waukesha County Airport
KUGN,Waukegan National Airport
KUIL,Quillayute Airport
KUIN,Quincy Regional Baldwin Field
KUKF,Wilkes County Airport
KUKI,Ukiah Municipal Airport
KUKL,Coffey County Airport
KUKT,Quakertown Airport
KULM,New Ulm Municipal Airport
KULS,Ulysses Airport
KUNI,Ohio University Snyder Field
KUNO,West Plains Municipal Airport
KUNV,University Park Airport
KUOX,University Oxford Airport
KUSE,Fulton County Airport
KUTA,Tunica Municipal Airport
KUTS,Huntsville Regional Airport
KUUU,Newport State Airport
KUVA,Garner Field
KUXL,Southland Field
KUYF,Madison County Airport
KUZA,Rock Hill - York County Airport
KVAD,Moody Air Force Base
KVAY,South Jersey Regional Airport
KVBG,Vandenberg Air Force Base
KVBT,Bentonville Municipal-Louise M Thaden Field
KVCB,Nut Tree Airport
KVCT,Victoria Regional Airport
KVCV,Southern California Logistics Airport
KVDF,Tampa Executive Airport
KVDI,Vidalia Regional Airport
KVEL,Vernal Regional Airport
KVER,Jesse Viertel Memorial Airport
KVES,Darke County Airport
KVGT,North Las Vegas Airport
KVIH,Rolla National Airport
KVIS,Visalia Municipal Airport
KVJI,Virginia Highlands Airport
KVKS,Vicksburg Municipal Airport
KVLD,Valdosta Regional Airport
KVLL,Oakland Troy Airport
KVNW,Van Wert County Airport
KVNY,Van Nuys Airport
KVOK,Volk Field
KVPC,Cartersville Airport
KVPS,Destin-Ft Walton Beach Airport
KVPZ,Porter County Municipal Airport
KVQQ,Cecil Airport
KVRB,Vero Beach Regional Airport
KVSF,Hartness State (Springfield) Airport
KVTA,Newark Heath Airport
KVTI,Vinton Veterans Memorial Airpark
KVTN,Miller Field
KVUJ,Stanly County Airport
KVUO,Pearson Field
KVVV,Ortonville Municipal Martinson Field
KVWU,Waskish Municipal Airport
KVYS,Illinois Valley Regional Airport-Walter A Duncan Field
KW22,Upshur County Regional Airport
KW31,Lunenburg County Airport
KW43,Hulett Municipal Airport
KW78,William M Tuck Airport
KW81,Crewe Municipal Airport
KW96,New Kent County Airport
KW99,Grant County Airport
KWAL,Wallops Flight Facility Airport
KWDG,Enid Woodring Regional Airport
KWDR,Barrow County Airport
KWHP,Whiteman Airport
KWJF,General WM J Fox Airfield
KWLD,Strother Field
KWMC,Winnemucca Municipal Airport
KWRB,Robins Air Force Base
KWRI,Mc Guire Air Force Base
KWRL,Worland Municipal Airport
KWST,Westerly State Airport
KWVI,Watsonville Municipal Airport
KWVL,Waterville Robert Lafleur Airport
KWWD,Cape May County Airport
KWWR,West Woodward Airport
KWYS,Yellowstone Airport
KX26,Sebastian Municipal Airport
KX26,Sebastian Municipal Airport
KX60,Williston Municipal Airport
KXBP,Bridgeport Municipal Airport
KXLL,Allentown Queen City Municipal Airport
KXMR,Cape Canaveral AFS Skid Strip
KXNA,Northwest Arkansas Regional Airport
KXNO,North Air Force Auxillary Airfield
KXVG,Longville Municipal Airport
KY19,Mandan Municipal Airport
KY23,Chetek Municipal Southworth Airport
KY31,West Branch Community Airport
KY50,Wautoma Municipal Airport
KY51,Viroqua Municipal Airport
KY70,Ionia County Airport
KYIP,Willow Run Airport
KYKM,Yakima Air Terminal McAllister Field
KYKN,Chan Gurney Municipal Airport
KYNG,Youngstown Warren Regional Airport
KZPH,Zephyrhills Municipal Airport
KZZV,Zanesville Municipal Airport
LATI,Tirana International Airport Mother Teresa
LBBG,Burgas Airport
LBGO,Gorna Oryahovitsa Airport
LBPD,Plovdiv International Airport
LBPG,Graf Ignatievo Air Base
LBPL,Dolna Mitropoliya Air Base
LBSF,Sofia Airport
LBWN,Varna Airport
LCEN,Ercan International Airport
LCLK,Larnaca International Airport
LCPH,Paphos International Airport
LCRA,RAF Akrotiri
LDDU,Dubrovnik Airport
LDOS,Osijek Airport
LDPL,Pula Airport
LDSP,Split Airport
LDZA,Zagreb Airport
LDZD,Zadar Airport
LEAB,Albacete-Los Llanos Airport
LEAL,Alicante International Airport
LEAM,Almería International Airport
LEAS,Asturias Airport
LEBA,Córdoba Airport
LEBB,Bilbao Airport
LEBG,Burgos Airport
LEBL,Barcelona International Airport
LEBZ,Badajoz Airport
LECH,Castellón-Costa Azahar Airport
LECO,A Coruña Airport
LEDA,Lleida-Alguaire Airport
LEGE,Girona Airport
LEGR,Federico Garcia Lorca Airport
LEHC,Huesca/Pirineos Airport
LEIB,Ibiza Airport
LEJR,Jerez Airport
LELC,San Javier Airport
LELL,Sabadell Airport
LELN,Leon Airport
LELO,Logroño-Agoncillo Airport
LEMD,Adolfo Suárez Madrid–Barajas Airport
LEMG,Málaga Airport
LEMH,Menorca Airport
LEMO,Moron Air Base
LEPA,Palma De Mallorca Airport
LEPP,Pamplona Airport
LERS,Reus Air Base
LERT,Rota Naval Station Airport
LESA,Salamanca Airport
LESB,Son Bonet Airport
LESO,San Sebastian Airport
LEST,Santiago de Compostela Airport
LETL,Teruel Airport
LETO,Torrejón Airport
LEVC,Valencia Airport
LEVD,Valladolid Airport
LEVT,Vitoria/Foronda Airport
LEVX,Vigo Airport
LEXJ,Santander Airport
LEZG,Zaragoza Air Base
LEZL,Sevilla Airport
LFAQ,Albert-Bray Airport
LFAT,Le Touquet-Côte d'Opale Airport
LFBA,Agen-La Garenne Airport
LFBC,Cazaux (BA 120) Air Base
LFBD,Bordeaux-Mérignac Airport
LFBE,Bergerac-Roumanière Airport
LFBG,Cognac-Châteaubernard (BA 709) Air Base
LFBH,La Rochelle-Île de Ré Airport
LFBI,Poitiers-Biard Airport
LFBL,Limoges Airport
LFBM,Mont-de-Marsan (BA 118) Air Base
LFBO,Toulouse-Blagnac Airport
LFBP,Pau Pyrénées Airport
LFBT,Tarbes-Lourdes-Pyrénées Airport
LFBU,Angoulême-Brie-Champniers Airport
LFBY,Dax Seyresse Airport
LFBZ,Biarritz-Anglet-Bayonne Airport
LFCK,Castres-Mazamet Airport
LFCR,Rodez-Marcillac Airport
LFGA,Colmar-Houssen Airport
LFGJ,Dole-Tavaux Airport
LFJL,Metz-Nancy-Lorraine Airport
LFJR,Angers-Loire Airport
LFKB,Bastia-Poretta Airport
LFKC,Calvi-Sainte-Catherine Airport
LFKF,Figari Sud-Corse Airport
LFKJ,Ajaccio-Napoléon Bonaparte Airport
LFKS,Solenzara (BA 126) Air Base
LFLB,Chambéry-Savoie Airport
LFLC,Clermont-Ferrand Auvergne Airport
LFLL,Lyon Saint-Exupéry Airport
LFLN,Saint-Yan Airport
LFLP,Annecy-Haute-Savoie-Mont Blanc Airport
LFLS,Grenoble-Isère Airport
LFLW,Aurillac Airport
LFLX,"Châteauroux-Déols ""Marcel Dassault"" Airport"
LFLY,Lyon-Bron Airport
LFMC,Le Luc-Le Cannet Airport
LFMD,Cannes-Mandelieu Airport
LFMH,Saint-Étienne-Bouthéon Airport
LFMI,Istres Le Tubé/Istres Air Base (BA 125) Airport
LFMK,Carcassonne Airport
LFML,Marseille Provence Airport
LFMN,Nice-Côte d'Azur Airport
LFMO,Orange-Caritat (BA 115) Air Base
LFMP,Perpignan-Rivesaltes (Llabanère) Airport
LFMT,Montpellier-Méditerranée Airport
LFMU,Béziers-Vias Airport
LFMV,Avignon-Caumont Airport
LFMY,Salon-de-Provence (BA 701) Air Base
LFOA,Avord (BA 702) Air Base
LFOB,Paris Beauvais Tillé Airport
LFOC,Châteaudun (BA 279) Air Base
LFOE,Évreux-Fauville (BA 105) Air Base
LFOH,Le Havre Octeville Airport
LFOJ,Orléans-Bricy (BA 123) Air Base
LFOK,Châlons-Vatry Airport
LFOP,Rouen Airport
LFOT,Tours-Val-de-Loire Airport
LFOV,Laval-Entrammes Airport
LFOZ,Orléans-Saint-Denis-de-l'Hôtel Airport
LFPB,Paris-Le Bourget Airport
LFPG,Charles de Gaulle International Airport
LFPM,Melun-Villaroche Air Base
LFPN,Toussus-le-Noble Airport
LFPO,Paris-Orly Airport
LFPT,Pontoise - Cormeilles-en-Vexin Airport
LFPV,Villacoublay-Vélizy (BA 107) Air Base
LFQA,Reims-Prunay Airport
LFQB,Troyes-Barberey Airport
LFQQ,Lille-Lesquin Airport
LFRB,Brest Bretagne Airport
LFRC,Cherbourg-Maupertus Airport
LFRD,Dinard-Pleurtuit-Saint-Malo Airport
LFRG,Deauville-Saint-Gatien Airport
LFRH,Lorient South Brittany (Bretagne Sud) Airport
LFRI,La Roche-sur-Yon Airport
LFRJ,Landivisiau Air Base
LFRK,Caen-Carpiquet Airport
LFRL,Lanvéoc-Poulmic Air Base
LFRM,Le Mans-Arnage Airport
LFRN,Rennes-Saint-Jacques Airport
LFRO,Lannion-Côte de Granit Airport
LFRQ,Quimper-Cornouaille Airport
LFRS,Nantes Atlantique Airport
LFRT,Saint-Brieuc-Armor Airport
LFRV,Vannes-Meucon Airport
LFRZ,Saint-Nazaire-Montoir Airport
LFSB,EuroAirport Basel-Mulhouse-Freiburg Airport
LFSD,Dijon-Bourgogne Airport
LFSG,Épinal-Mirecourt Airport
LFSI,Saint-Dizier-Robinson (BA 113) Air Base
LFSL,Toul Rosières Air Base
LFSN,Nancy-Essey Airport
LFSO,Nancy-Ochey (BA 133) Air Base
LFST,Strasbourg Airport
LFSX,Luxeuil-Saint-Sauveur (BA 116) Air Base
LFTH,Toulon-Hyères Airport
LFTW,Nîmes-Arles-Camargue Airport
LFYR,Romorantin Pruniers Airfield
LGAD,Andravida Air Base
LGAV,Eleftherios Venizelos International Airport
LGBL,Nea Anchialos Airport
LGEL,Elefsis Airport
LGHI,Chios Island National Airport
LGIO,Ioannina Airport
LGIR,Heraklion International Nikos Kazantzakis Airport
LGKL,Kalamata Airport
LGKO,Kos Airport
LGKP,Karpathos Airport
LGKR,Ioannis Kapodistrias International Airport
LGKZ,Filippos Airport
LGLM,Limnos Airport
LGMT,Mytilene International Airport
LGPA,Paros National Airport
LGPZ,Aktion National Airport
LGRP,Diagoras Airport
LGRX,Araxos Airport
LGSA,Chania International Airport
LGSM,Samos Airport
LGSO,Syros Airport
LGTS,Thessaloniki Macedonia International Airport
LHBP,Budapest Liszt Ferenc International Airport
LHDC,Debrecen International Airport
LHKE,Kecskemét Airport
LHPA,Pápa Air Base
LHPR,Győr-Pér International Airport
LHSM,Sármellék International Airport
LHSN,Szolnok Air Base
LIBA,Amendola Air Base
LIBD,Bari Karol Wojtyła Airport
LIBN,Lecce Galatina Air Base
LIBP,Pescara International Airport
LIBR,Brindisi – Salento Airport
LIBV,Gioia Del Colle Air Base
LICA,Lamezia Terme Airport
LICB,Comiso Airport
LICC,Catania-Fontanarossa Airport
LICD,Lampedusa Airport
LICR,Reggio Calabria Airport
LICT,Vincenzo Florio Airport Trapani-Birgi
LICZ,Sigonella Navy Air Base
LIEA,Alghero-Fertilia Airport
LIED,Decimomannu Air Base
LIEE,Cagliari Elmas Airport
LIEO,Olbia Costa Smeralda Airport
LIMC,Malpensa International Airport
LIME,Il Caravaggio International Airport
LIMF,Turin Airport
LIMJ,Genoa Cristoforo Colombo Airport
LIML,Milano Linate Airport
LIPB,Bolzano Airport
LIPC,Cervia Air Base
LIPE,Bologna Guglielmo Marconi Airport
LIPL,Ghedi Air Base
LIPO,Brescia Airport
LIPR,Federico Fellini International Airport
LIPS,Istrana Air Base
LIPX,Verona Villafranca Airport
LIPY,Ancona Falconara Airport
LIPZ,Venice Marco Polo Airport
LIRA,Ciampino–G. B. Pastine International Airport
LIRE,Pratica Di Mare Air Base
LIRF,Leonardo da Vinci–Fiumicino Airport
LIRM,Grazzanise Air Base
LIRN,Naples International Airport
LIRP,Pisa International Airport
LIRQ,Peretola Airport
LIRS,Grosseto Air Base
LIRZ,Perugia San Francesco d'Assisi – Umbria International Airport
LJCE,Cerklje Airport
LJLJ,Ljubljana Jože Pučnik Airport
LJMB,Maribor Airport
LJPZ,Portoroz Airport
LKCV,Čáslav Air Base
LKKB,Kbely Air Base
LKKV,Karlovy Vary International Airport
LKLN,Plzeň-Líně Airport
LKMT,Ostrava Leos Janáček Airport
LKNA,Náměšť Air Base
LKPD,Pardubice Airport
LKPR,Václav Havel Airport Prague
LKTB,Brno-Tuřany Airport
LLBG,Ben Gurion International Airport
LMML,Malta International Airport
LOWG,Graz Airport
LOWI,Innsbruck Airport
LOWK,Klagenfurt Airport
LOWL,Linz Hörsching Airport
LOWS,Salzburg Airport
LOWW,Vienna International Airport
LPAZ,Santa Maria Airport
LPBJ,Beja Airport / Airbase
LPFR,Faro Airport
LPLA,Lajes Airport
LPMA,Madeira Airport
LPMR,Monte Real Air Base
LPMT,Montijo Air Base
LPOV,Ovar Air Base
LPPD,João Paulo II Airport
LPPR,Francisco de Sá Carneiro Airport
LPPS,Porto Santo Airport
LPPT,Humberto Delgado Airport (Lisbon Portela Airport)
LQBK,Banja Luka International Airport
LQSA,Sarajevo International Airport
LRAR,Arad International Airport
LRBC,Bacău Airport
LRBM,Maramureș International Airport
LRBS,Băneasa International Airport
LRCK,Mihail Kogălniceanu International Airport
LRCL,Cluj-Napoca International Airport
LRCV,Craiova Airport
LRIA,Iaşi Airport
LROD,Oradea International Airport
LROP,Henri Coandă International Airport
LRSB,Sibiu International Airport
LRSM,Satu Mare Airport
LRSV,Suceava Stefan cel Mare Airport
LRTC,Tulcea Airport
LRTM,Transilvania Târgu Mureş International Airport
LRTR,Timişoara Traian Vuia Airport
LSGC,Les Eplatures Airport
LSGG,Geneva Cointrin International Airport
LSGS,Sion Airport
LSMA,Alpnach Air Base
LSMD,Dübendorf Air Base
LSME,Emmen Air Base
LSMM,Meiringen Airport
LSMP,Payerne Air Base
LSZA,Lugano Airport
LSZB,Bern Belp Airport
LSZC,Buochs Airport
LSZG,Grenchen Airport
LSZH,Zürich Airport
LSZL,Locarno Airport
LSZR,St Gallen Altenrhein Airport
LSZS,Samedan Airport
LTAC,Esenboğa International Airport
LTAE,Akıncı Air Base
LTAF,Adana Airport
LTAG,İncirlik Air Base
LTAI,Antalya International Airport
LTAJ,Gaziantep International Airport
LTAN,Konya Airport
LTAP,Amasya Merzifon Airport
LTAT,Malatya Erhaç Airport
LTAU,Kayseri Erkilet Airport
LTBA,Atatürk International Airport
LTBF,Balıkesir Merkez Airport
LTBJ,Adnan Menderes International Airport
LTBQ,Cengiz Topel Airport
LTBR,Bursa Yenişehir Airport
LTBS,Dalaman International Airport
LTBU,Tekirdağ Çorlu Airport
LTBY,Anadolu Airport
LTCA,Elazığ Airport
LTCC,Diyarbakir Airport
LTCD,Erzincan Airport
LTCE,Erzurum International Airport
LTCF,Kars Airport
LTCG,Trabzon International Airport
LTCI,Van Ferit Melen Airport
LTCJ,Batman Airport
LTCN,Kahramanmaraş Airport
LTCS,Şanlıurfa GAP Airport
LTDA,Hatay Airport
LTFC,Süleyman Demirel International Airport
LTFE,Milas Bodrum International Airport
LTFH,Samsun Çarşamba Airport
LUKK,Chişinău International Airport
LWSK,Skopje Alexander the Great Airport
LXGB,Gibraltar Airport
LYBE,Belgrade Nikola Tesla Airport
LYBT,Batajnica Air Base
LYKV,Morava Airport
LYNI,Nis Airport
LYPG,Podgorica Airport
LYTV,Tivat Airport
LYVR,Vršac International Airport
LZIB,M. R. Štefánik Airport
LZKZ,Košice Airport
LZPP,Piešťany Airport
LZSL,Sliač Airport
LZTT,Poprad-Tatry Airport
LZZI,Žilina Airport
MDCY,Samaná El Catey International Airport
MDLR,Casa De Campo International Airport
MDPC,Punta Cana International Airport
MDPP,Gregorio Luperon International Airport
MDSD,Las Américas International Airport
MDST,Cibao International Airport
MGCB,Coban Airport
MGES,Esquipulas Airport
MGGT,La Aurora Airport
MGHT,Huehuetenango Airport
MGMM,Melchor de Mencos Airport
MGPB,Puerto Barrios Airport
MGQZ,Quezaltenango Airport
MGRT,Retalhuleu Airport
MGSJ,San José Airport
MGZA,Zacapa Airport
MHCA,Catacamas Airport
MHGS,Celaque Airport
MHLC,Goloson International Airport
MHLE,La Esperanza Airport
MHLM,Ramón Villeda Morales International Airport
MHPL,Puerto Lempira Airport
MHSC,Coronel Enrique Soto Cano Air Base
MHTE,Tela Airport
MHTG,Toncontín International Airport
MKJP,Norman Manley International Airport
MKJS,Sangster International Airport
MMAA,General Juan N Alvarez International Airport
MMAN,Del Norte International Airport
MMAS,Jesús Terán Paredo International Airport
MMBT,Bahías de Huatulco International Airport
MMCB,General Mariano Matamoros Airport
MMCE,Ciudad del Carmen International Airport
MMCL,Bachigualato Federal International Airport
MMCM,Chetumal International Airport
MMCN,Ciudad Obregón International Airport
MMCP,Ingeniero Alberto Acuña Ongay International Airport
MMCS,Abraham González International Airport
MMCU,General Roberto Fierro Villalobos International Airport
MMCV,General Pedro Jose Mendez International Airport
MMCZ,Cozumel International Airport
MMDO,General Guadalupe Victoria International Airport
MMEP,Amado Nervo National Airport
MMGL,Don Miguel Hidalgo Y Costilla International Airport
MMGM,General José María Yáñez International Airport
MMHO,General Ignacio P. Garcia International Airport
MMIA,Licenciado Miguel de la Madrid Airport
MMLM,Valle del Fuerte International Airport
MMLO,Del Bajío International Airport
MMLP,Manuel Márquez de León International Airport
MMLT,Loreto International Airport
MMMA,General Servando Canales International Airport
MMMD,Licenciado Manuel Crescencio Rejon Int Airport
MMMM,General Francisco J. Mujica International Airport
MMMT,Minatitlán/Coatzacoalcos National Airport
MMMV,Monclova International Airport
MMMX,Licenciado Benito Juarez International Airport
MMMY,General Mariano Escobedo International Airport
MMMZ,General Rafael Buelna International Airport
MMNL,Quetzalcóatl International Airport
MMOX,Xoxocotlán International Airport
MMPA,El Tajín National Airport
MMPB,Hermanos Serdán International Airport
MMPG,Piedras Negras International Airport
MMPN,Licenciado y General Ignacio Lopez Rayon Airport
MMPQ,Palenque International Airport
MMPR,Licenciado Gustavo Díaz Ordaz International Airport
MMPS,Puerto Escondido International Airport
MMQT,Querétaro Intercontinental Airport
MMRX,General Lucio Blanco International Airport
MMSD,Los Cabos International Airport
MMSL,Cabo San Lucas International Airport
MMSP,Ponciano Arriaga International Airport
MMTC,Francisco Sarabia International Airport
MMTG,Angel Albino Corzo International Airport
MMTJ,General Abelardo L. Rodríguez International Airport
MMTM,General Francisco Javier Mina International Airport
MMTO,Licenciado Adolfo Lopez Mateos International Airport
MMTP,Tapachula International Airport
MMUN,Cancún International Airport
MMVA,Carlos Rovirosa Pérez International Airport
MMVR,General Heriberto Jara International Airport
MMZC,General Leobardo C. Ruiz International Airport
MMZH,Ixtapa Zihuatanejo International Airport
MMZO,Playa De Oro International Airport
MNBL,Bluefields Airport
MNCH,Chinandega Airport
MNJG,Jinotega
MNJU,Juigalpa
MNMG,Augusto C. Sandino (Managua) International Airport
MNPC,Puerto Cabezas Airport
MNRS,Rivas
MPDA,Enrique Malek International Airport
MPMG,Marcos A. Gelabert International Airport
MPTO,Tocumen International Airport
MRLB,Daniel Oduber Quiros International Airport
MRLM,Limon International Airport
MROC,Juan Santamaria International Airport
MRPV,Tobias Bolanos International Airport
MSLP,Monseñor Óscar Arnulfo Romero International Airport
MTCH,Cap Haitien International Airport
MTPP,Toussaint Louverture International Airport
MUCC,Jardines Del Rey Airport
MUCF,Jaime Gonzalez Airport
MUCL,Vilo Acuña International Airport
MUCU,Antonio Maceo International Airport
MUGM,Leeward Point Field
MUHA,José Martí International Airport
MUHG,Frank Pais International Airport
MUSC,Abel Santamaria Airport
MUVR,Juan Gualberto Gomez International Airport
MWCR,Owen Roberts International Airport
MYGF,Grand Bahama International Airport
MYNN,Lynden Pindling International Airport
MZBZ,Philip S. W. Goldson International Airport
NCAT,Enua Airport
NCMG,Mangaia Island Airport
NCMH,Manihiki Island Airport
NCMK,Mauke Airport
NCMR,Mitiaro Island Airport
NCPK,Pukapuka Island Airport
NCPY,Tongareva Airport
NCRG,Rarotonga International Airport
NFFN,Nadi International Airport
NFNA,Nausori International Airport
NFTF,Fua'amotu International Airport
NFTL,Lifuka Island Airport
NFTV,Vava'u International Airport
NGFU,Funafuti International Airport
NGTA,Bonriki International Airport
NIUE,Niue International Airport
NLWW,Hihifo Airport
NSTU,Pago Pago International Airport
NTAA,Faa'a International Airport
NVSC,Sola Airport
NVSG,Longana Airport
NVSS,Santo Pekoa International Airport
NVVA,Aneityum Airport
NVVV,Bauerfield International Airport
NVVW,Tanna Airport
NWWW,La Tontouta International Airport
NZAA,Auckland International Airport
NZCH,Christchurch International Airport
NZWN,Wellington International Airport
OAIX,Bagram Air Base
OAJL,Jalalabad Airport
OAKB,Hamid Karzai International Airport
OAKN,Kandahar Airport
OBBI,Bahrain International Airport
OEAB,Abha Regional Airport
OEAH,Al Ahsa Airport
OEBA,Al Baha Airport
OEBH,Bisha Airport
OEDF,King Fahd International Airport
OEDM,King Salman Abdulaziz Airport
OEDR,King Abdulaziz Air Base
OEGN,Jizan Regional Airport
OEGS,Gassim Airport
OEGT,Gurayat Domestic Airport
OEHL,Ha'il Airport
OEJB,Jubail Airport
OEJN,King Abdulaziz International Airport
OEKM,King Khaled Air Base
OEMA,Prince Mohammad Bin Abdulaziz Airport
